samples,step,time/total,time/train,time/val
8,0,3.088372145779431,3.088372145779431,0.0
16,1,5.567763878032565,5.567763878032565,0.0
24,2,8.060014944523573,8.060014944523573,0.0
32,3,10.551941191777587,10.551941191777587,0.0
40,4,13.045489290729165,13.045489290729165,0.0
48,5,15.540943433530629,15.540943433530629,0.0
56,6,18.042540705762804,18.042540705762804,0.0
64,7,20.54969171155244,20.54969171155244,0.0
72,8,23.05241584777832,23.05241584777832,0.0
80,9,25.557424506172538,25.557424506172538,0.0
88,10,28.06308826431632,28.06308826431632,0.0
96,11,30.569168081507087,30.569168081507087,0.0
104,12,33.155782776884735,33.155782776884735,0.0
112,13,35.66287158522755,35.66287158522755,0.0
120,14,38.30254568532109,38.30254568532109,0.0
128,15,40.81325937341899,40.81325937341899,0.0
136,16,43.32394046988338,43.32394046988338,0.0
144,17,45.83457382582128,45.83457382582128,0.0
152,18,48.34855334647,48.34855334647,0.0
160,19,50.86016386561096,50.86016386561096,0.0
