Proxy exported
['http://images.cocodataset.org/train2017/000000033471.jpg', 'What are the colors of the bus in the image? [QA]', 'The bus in the image is white and red.<|endoftext|>']
trainable params: 83,886,080 || all params: 2,863,569,920 || trainable%: 2.9294231446599355
PEFT MODEL:83886080
PROJECTION MODEL:1968640
CLIP MODEL:0
PHI MODEL:83886080
RESNET MODEL:13117440
Loaded step2 checkpoint
Image: http://images.cocodataset.org/train2017/000000474759.jpg
Question: What is the theme of the cake in the image? [QA]
Answer:   The theme of the cake in the image is Angry Birds.<|endoftext|>
Model Predicted Ans:  theme of the cake in the image is a combination of animals and food, with a cake shaped like a giraffe and various food items, such as a cake, cupcakes, and a cake with a bird on top.
Iteration 0/100000, Loss: 3.257129669189453
Image: http://images.cocodataset.org/train2017/000000136905.jpg
Question: Is there any graffiti on the train itself? [QA]
Answer:   Yes, there is graffiti on the train itself in addition to the graffiti on the railway tracks and the wall.<|endoftext|>
Model Predicted Ans: , there is graffiti on the train itself.
Saving Checkpoint
{'step': 0, 'train_loss': 3.257129669189453}
{'step': 1, 'train_loss': 3.4189953804016113}
{'step': 2, 'train_loss': 3.1947989463806152}
{'step': 3, 'train_loss': 3.397252082824707}
{'step': 4, 'train_loss': 3.2914798259735107}
{'step': 5, 'train_loss': 3.372424840927124}
{'step': 6, 'train_loss': 3.319749355316162}
{'step': 7, 'train_loss': 3.5134449005126953}
{'step': 8, 'train_loss': 3.2969937324523926}
{'step': 9, 'train_loss': 3.3740105628967285}
{'step': 10, 'train_loss': 3.2822537422180176}
{'step': 11, 'train_loss': 3.386699914932251}
{'step': 12, 'train_loss': 3.3567419052124023}
{'step': 13, 'train_loss': 3.363658905029297}
{'step': 14, 'train_loss': 3.317762851715088}
{'step': 15, 'train_loss': 3.4125447273254395}
{'step': 16, 'train_loss': 3.352065086364746}
{'step': 17, 'train_loss': 3.4877960681915283}
{'step': 18, 'train_loss': 3.3731017112731934}
{'step': 19, 'train_loss': 3.501138687133789}
{'step': 20, 'train_loss': 3.3153305053710938}
{'step': 21, 'train_loss': 3.309913396835327}
{'step': 22, 'train_loss': 3.391542911529541}
{'step': 23, 'train_loss': 3.45753812789917}
{'step': 24, 'train_loss': 3.3937268257141113}
{'step': 25, 'train_loss': 3.4942996501922607}
{'step': 26, 'train_loss': 3.1729578971862793}
